time, speed, delta_speed_average, delta_speed_prev
73999, 30, -6.6, -6.0
74018, 30, -4.8, -6.6
74031, 28, -4.6, -4.8
74040, 14, -6.4, -4.6
74056, 12, -4.8, -6.4
74066, 17, -2.6, -4.8
74070, -21, -10.2, -2.6
74084, -1, -5.8, -10.2
74089, -22, -7.2, -5.8
74097, -15, -5.4, -7.2
74107, -8, -5.0, -5.4
74121, -14, 1.4, -5.0
74130, 1, 0.4, 1.4
74138, -10, 2.4, 0.4
74146, -12, 0.6, 2.4
74155, -17, -1.8, 0.6
74160, -26, -2.4, -1.8
74168, -25, -5.2, -2.4
74176, -24, -2.8, -5.2
74185, -21, -1.8, -2.8
74192, -25, -1.6, -1.8
74200, -29, -0.6, -1.6
74208, -23, 0.4, -0.6
74218, -24, 0.0, 0.4
74227, -42, -3.4, -4.2
74249, -27, 0.4, -3.4
74257, -28, -1.0, 0.4
74265, -54, -6.0, -1.0
74274, -57, -3.0, -6.0
74281, -59, -3.4, -3.0
74290, -44, -3.4, -3.4
74297, -43, -3.0, -3.4
74301, -62, -1.6, -3.0
74315, -73, -3.2, -1.6
74326, -75, -3.2, -3.2
74333, -89, -9.0, -3.2
74341, -102, -11.8, -9.0
74348, -99, -7.4, -11.8
74357, -104, -6.2, -7.4
74366, -96, -4.2, -6.2
74374, -97, -1.6, -4.2
74379, -101, 0.2, -1.6
74387, -101, -0.4, 0.2
74395, -109, -1.0, -0.4
74402, -117, -4.2, -1.0
74416, -121, -4.8, -4.2
74428, -117, -3.2, -4.8
74440, -112, -2.2, -3.2
74450, -114, -1.0, -2.2
74459, -111, 1.2, -1.0
74466, -111, 2.0, 1.2
74481, -113, 0.8, 2.0
74491, -115, -0.6, 0.8
74499, -100, 2.8, -0.6
74507, -94, 3.4, 2.8
74516, -93, 3.6, 3.4
74527, -92, 4.2, 3.6
74535, -90, 5.0, 4.2
74540, -84, 3.2, 5.0
74548, -83, 2.2, 3.2
74556, -81, 2.4, 2.2
74563, -87, 1.0, 2.4
74570, -84, 1.2, 1.0
74580, -46, 7.6, 1.2
74589, -49, 6.8, 7.6
74597, -57, 4.8, 6.8
74606, -74, 2.6, 4.8
74614, -67, 3.4, 2.6
74618, -41, 1.0, 3.4
74628, -37, 2.4, 1.0
74637, -56, 0.2, 2.4
74645, -52, 4.4, 0.2
74652, -79, -2.4, 4.4
74660, -72, -6.2, -2.4
74668, -40, -0.6, -6.2
74677, -38, 3.6, -0.6
74686, -88, -7.2, 3.6
74694, -113, -6.8, -7.2
74700, -68, 0.8, -6.8
74707, -128, -17.6, 0.8
74716, 10, 9.6, -17.6
74724, -4, 16.8, 9.6
74734, -40, 14.6, 16.8
74741, -63, 1.0, 14.6
74750, -22, 21.2, 1.0
74759, -32, -8.4, 21.2
74768, 9, 2.6, -8.4
74776, 5, 9.0, 2.6
74788, 10, 14.6, 9.0
74797, -15, 1.4, 14.6
74805, -28, 0.8, 1.4
74820, 15, 1.2, 0.8
74839, 19, 2.8, 1.2
74850, 3, -1.4, 2.8
74861, -4, 2.2, -1.4
74871, 7, 7.0, 2.2
74886, 37, 4.4, 7.0
74899, 53, 6.8, 4.4
74910, 85, 16.4, 6.8
74919, 86, 18.0, 16.4
74928, 61, 10.8, 18.0
74938, 75, 7.6, 10.8
74947, 78, 5.0, 7.6
74955, 72, -2.6, 5.0
74965, 71, -3.0, -2.6
74974, 73, 2.4, -3.0
74985, 86, 2.2, 2.4
74994, 89, 2.2, 2.2
75003, 90, 3.6, 2.2
75011, 85, 2.8, 3.6
75019, 88, 3.0, 2.8
75030, 114, 5.6, 3.0
75040, 130, 8.199999999999999, 5.6
75049, 126, 7.2, 8.199999999999999
75058, 105, 4.0, 7.2
75067, 98, 2.0, 4.0
75077, 104, -2.0, 2.0
75087, 109, -4.2, -2.0
75098, 114, -2.4, -4.2
75107, 105, 0.0, -2.4
75117, 96, -1.6, 1.4
75126, 100, -1.8, -1.6
75136, 105, -1.8, -1.8
75146, 117, 2.4, -1.8
75155, 111, 1.2, 2.4
75164, 86, -2.0, 1.2
75174, 92, -1.6, -2.0
75182, 94, -2.2, -1.6
75194, 110, -1.4, -2.2
75203, 92, -3.8, -1.4
75220, 72, -2.8, -3.8
75240, 85, -1.4, -2.8
75250, 63, -6.2, -1.4
75263, 55, -11.0, -6.2
75300, 47, -9.0, -11.0
75310, 21, -10.2, -9.0
75320, 55, -6.0, -10.2
75329, 68, 1.0, -6.0
75338, 56, 0.2, 1.0
75348, 43, -0.8, 0.2
75356, 42, 4.2, -0.8
75365, 56, 0.2, 4.2
75377, 47, -4.2, 0.2
75386, 57, 0.2, -4.2
75397, 36, -1.4, 0.2
75406, 24, -3.6, -1.4
75415, 29, -5.4, -3.6
75424, 33, -2.8, -5.4
75433, 36, -4.2, -2.8
75443, 47, 2.2, -4.2
75452, 24, 0.0, 2.2
75463, 1, -6.4, -3.8
75470, -19, -11.0, -6.4
75479, 16, -6.2, -11.0
75490, 35, 2.2, -6.2
75501, 0, -2.0, 2.2
75518, -33, -0.2, -2.0
75526, -21, 6.2, -0.2
75536, 11, 5.6, 6.2
75545, -26, -5.6, 5.6
75554, -15, 3.6, -5.6
75561, -57, -4.8, 3.6
75570, -31, -2.0, -4.8
75578, -27, -7.6, -2.0
75587, -34, -1.6, -7.6
75596, -50, -7.0, -1.6
75601, -110, -10.6, -7.0
75618, -73, -8.4, -10.6
75636, -99, -14.4, -8.4
75646, -104, -14.0, -14.4
75656, -119, -13.8, -14.0
75666, -126, -3.2, -13.8
75675, -121, -9.6, -3.2
75680, -126, -5.4, -9.6
75688, -122, -3.6, -5.4
75696, -125, -1.2, -3.6
75704, -131, -1.0, -1.2
75714, -134, -2.6, -1.0
75723, -126, 0.0, -2.6
75734, -121, 0.8, 1.4
75740, -124, 1.4, 0.8
75749, -131, 0.6, 1.4
75757, -137, -2.2, 0.6
75761, -133, -3.6, -2.2
75770, -119, 0.4, -3.6
75777, -122, 0.4, 0.4
75785, -119, 2.4, 0.4
75789, -118, 3.8, 2.4
75802, -106, 5.4, 3.8
75809, -100, 3.8, 5.4
75818, -111, 2.2, 3.8
75826, -118, 0.2, 2.2
75834, -117, 0.2, 0.2
75838, -101, 1.0, 0.2
75846, -92, 1.6, 1.0
75855, -98, 2.6, 1.6
75863, -98, 4.0, 2.6
75871, -110, 1.4, 4.0
75879, -104, -0.6, 1.4
75888, -74, 3.6, -0.6
75896, -82, 3.2, 3.6
75906, -108, -2.0, 3.2
75914, -129, -3.8, -2.0
75922, -110, -1.2, -3.8
75930, -114, -8.0, -1.2
75939, -78, 0.8, -8.0
75947, -102, 1.2, 0.8
75956, -134, -1.0, 1.2
75965, -114, -0.8, -1.0
75974, -83, 6.2, -0.8
75980, -83, -1.0, 6.2
75989, -74, 5.6, -1.0
75999, -94, 8.0, 5.6
76008, -70, 8.800000000000001, 8.0
76021, -78, 1.0, 8.800000000000001
76038, -51, 6.4, 1.0
76047, -48, 5.2, 6.4
76058, -68, 5.2, 5.2
76068, -59, 2.2, 5.2
76076, -48, 6.0, 2.2
76086, -39, 2.4, 6.0
76091, -25, 4.6, 2.4
76099, -32, 7.2, 4.6
76108, -35, 4.8, 7.2
76118, -28, 4.0, 4.8
76127, -16, 4.6, 4.0
76136, 1, 5.2, 4.6
76145, 20, 10.4, 5.2
76158, 32, 13.4, 10.4
76167, 27, 11.0, 13.4
76175, 24, 8.0, 11.0
76185, 34, 6.6, 8.0
76194, 39, 3.8, 6.6
76203, 41, 1.8, 3.8
76213, 46, 3.8, 1.8
76220, 50, 5.2, 3.8
76230, 63, 5.8, 5.2
76238, 73, 6.8, 5.8
76247, 76, 7.0, 6.8
76256, 80, 6.8, 7.0
76269, 83, 6.6, 6.8
76278, 93, 6.0, 6.6
76288, 96, 4.6, 6.0
76296, 104, 5.6, 4.6
76306, 99, 3.8, 5.6
76315, 101, 3.6, 3.8
76338, 115, 4.4, 3.6
76347, 116, 4.0, 4.4
76356, 117, 2.6, 4.0
76370, 121, 4.4, 2.6
76379, 128, 5.4, 4.4
76388, 129, 2.8, 5.4
76396, 128, 2.4, 2.8
76409, 127, 2.0, 2.4
76436, 138, 3.4, 2.0
76446, 137, 1.8, 3.4
76456, 136, 1.4, 1.8
76467, 136, 1.6, 1.4
76477, 137, 2.0, 1.6
76494, 136, -0.4, 2.0
76506, 134, -0.6, -0.4
76513, 133, -0.6, -0.6
76524, 136, 0.0, -0.6
76534, 122, -2.8, -2.0
76544, 106, -5.6, -2.8
76551, 101, -6.4, -5.6
76560, 121, -3.0, -6.4
76571, 124, -0.6, -3.0
76580, 122, 0.0, -0.6
76591, 124, 4.6, 4.6
76600, 131, 2.0, 4.6
76608, 102, -4.4, 2.0
76618, 103, -3.8, -4.4
76627, 97, -6.4, -3.8
76637, 121, -0.6, -6.4
76645, 91, -8.0, -0.6
76657, 77, -5.0, -8.0
76673, 65, -7.6, -5.0
76681, 70, -5.4, -7.6
76690, 71, -10.0, -5.4
76699, 59, -6.4, -10.0
76709, 51, -5.2, -6.4
76720, 47, -3.6, -5.2
76728, 31, -7.8, -3.6
76736, 24, -9.4, -7.8
76746, 27, -6.4, -9.4
76755, 18, -6.6, -6.4
76764, 17, -6.0, -6.6
76775, -9, -8.0, -6.0
76784, 5, -3.8, -8.0
76792, -2, -5.8, -3.8
76800, 2, -3.2, -5.8
76809, -15, -6.4, -3.2
76828, -29, -4.0, -6.4
76836, -21, -5.2, -4.0
76846, -11, -1.8, -5.2
76855, -26, -5.6, -1.8
76865, -31, -3.2, -5.6
76875, -34, -1.0, -3.2
76879, -41, -4.0, -1.0
76893, -54, -8.6, -4.0
76898, -44, -3.6, -8.6
76909, -43, -2.4, -3.6
76917, -55, -4.2, -2.4
76922, -57, -3.2, -4.2
76930, -62, -1.6, -3.2
76937, -61, -3.4, -1.6
76946, -58, -3.0, -3.4
76954, -60, -1.0, -3.0
76961, -42, 3.0, -1.0
76970, -65, -0.6, 3.0
76980, -103, -8.4, -0.6
76988, -87, -5.8, -8.4
76996, -71, -2.2, -5.8
77004, -68, -5.2, -2.2
77014, -76, -2.2, -5.2
77021, -90, 2.6, -2.2
77031, -102, -3.0, 2.6
77039, -84, -2.6, -3.0
77047, -84, -3.2, -2.6
77055, -92, -3.2, -3.2
77060, -95, -1.0, -3.2
77068, -94, 1.6, -1.0
77079, -121, -7.4, 1.6
77086, -130, -9.199999999999999, -7.4
77094, -129, -7.4, -9.199999999999999
77101, -129, -6.8, -7.4
77110, -115, -4.2, -6.8
77117, -122, -0.2, -4.2
77125, -132, -0.4, -0.2
77134, -138, -1.8, -0.4
77142, -125, 0.8, -1.8
77150, -130, -3.0, 0.8
77159, -140, -3.6, -3.0
77166, -138, -1.2, -3.6
77171, -133, 1.0, -1.2
77185, -125, 0.0, 1.0
77194, -127, 2.6, 1.4
77197, -127, 2.2, 2.6
77205, -129, 0.8, 2.2
77216, -130, -1.0, 0.8
77226, -129, -1.2, -1.0
77236, -113, 2.8, -1.2
77245, -121, 1.2, 2.8
77249, -125, 0.8, 1.2
77256, -131, -0.2, 0.8
77264, -134, -1.0, -0.2
77271, -124, -2.2, -1.0
77281, -114, 1.4, -2.2
77289, -110, 3.0, 1.4
77297, -113, 3.6, 3.0
77301, -111, 4.6, 3.6
77310, -110, 2.8, 4.6
77317, -110, 0.8, 2.8
77324, -95, 3.0, 0.8
77334, -78, 7.0, 3.0
77342, -76, 7.0, 7.0
77351, -81, 5.8, 7.0
77376, -76, 6.8, 5.8
77386, -64, 6.2, 6.8
77393, -60, 3.6, 6.2
77398, -53, 4.6, 3.6
77406, -48, 6.6, 4.6
77414, -49, 5.4, 6.6
77421, -14, 10.0, 5.4
77429, -34, 5.2, 10.0
77441, -39, 2.8, 5.2
77449, -36, 2.4, 2.8
77456, -5, 8.800000000000001, 2.4
77464, 30, 8.800000000000001, 8.800000000000001
77474, -3, 6.2, 8.800000000000001
77481, -17, 4.4, 6.2
77490, 72, 21.6, 4.4
77498, 17, 4.4, 21.6
77506, -24, -10.8, 4.4
77514, -77, -14.8, -10.8
77523, 2, 3.8, -14.8
77532, 21, -10.2, 3.8
77543, 22, 1.0, -10.2
77551, 13, 7.4, 1.0
77560, 26, 20.6, 7.4
77571, 43, 8.199999999999999, 20.6
77580, 37, 3.2, 8.199999999999999
77590, 37, 3.0, 3.2
77599, 45, 6.4, 3.0
77609, 47, 4.2, 6.4
77625, 28, -3.0, 4.2
77647, 50, 2.6, -3.0
77658, 61, 4.8, 2.6
77668, 66, 4.2, 4.8
77678, 61, 2.8, 4.2
77690, 67, 7.8, 2.8
77707, 91, 8.199999999999999, 7.8
77716, 129, 13.6, 8.199999999999999
77724, 114, 9.6, 13.6
77733, 107, 9.199999999999999, 9.6
77744, 92, 5.0, 9.199999999999999
77752, 109, 3.6, 5.0
77760, 121, -1.6, 3.6
77770, 130, 3.2, -1.6
77779, 125, 3.6, 3.2
77788, 116, 4.8, 3.6
77798, 124, 3.0, 4.8
77808, 134, 2.6, 3.0
77817, 140, 2.0, 2.6
77826, 144, 3.8, 2.0
77835, 131, 3.0, 3.8
77846, 129, 1.0, 3.0
77856, 130, -0.8, 1.0
77865, 133, -1.4, -0.8
77874, 136, -1.6, -1.4
77882, 142, 2.2, -1.6
77891, 135, 1.2, 2.2
77901, 116, -2.8, 1.2
77910, 109, -4.8, -2.8
77919, 123, -2.6, -4.8
77928, 123, -3.8, -2.6
77937, 123, -2.4, -3.8
77948, 116, 0.0, -2.4
77959, 111, -2.4, 0.6
77968, 112, -2.2, -2.4
77976, 107, -3.2, -2.2
77985, 82, -6.8, -3.2
77994, 86, -5.2, -6.8
78004, 87, -4.8, -5.2
78012, 86, -5.2, -4.8
78020, 88, -3.8, -5.2
78031, 78, -0.8, -3.8
78048, 68, -3.6, -0.8
78068, 84, -0.6, -3.6
78078, 56, -6.0, -0.6
78091, 38, -10.0, -6.0
78105, 40, -7.6, -10.0
78114, 41, -5.4, -7.6
78126, 51, -6.6, -5.4
78135, 42, -2.8, -6.6
78144, 46, 1.6, -2.8
78154, 29, -2.2, 1.6
78163, 16, -5.0, -2.2
78172, 18, -6.6, -5.0
78181, 25, -3.4, -6.6
78190, 21, -5.0, -3.4
78201, 9, -4.0, -5.0
78211, 6, -2.0, -4.0
78220, 4, -2.8, -2.0
78228, 6, -3.8, -2.8
78237, -7, -5.6, -3.8
78245, -15, -4.8, -5.6
78253, -13, -3.8, -4.8
78257, -4, -1.6, -3.8
78266, -14, -4.0, -1.6
78273, -17, -2.0, -4.0
78281, -42, -5.4, -2.0
78290, -38, -5.0, -5.4
78299, -14, -2.0, -5.0
78308, -23, -1.8, -2.0
78316, -46, -5.8, -1.8
78323, -55, -2.6, -5.8
78331, -59, -4.2, -2.6
78339, -60, -9.199999999999999, -4.2
78347, -70, -9.4, -9.199999999999999
78356, -74, -5.6, -9.4
78365, -76, -4.2, -5.6
78386, -87, -5.6, -4.2
78391, -91, -6.2, -5.6
78399, -91, -4.2, -6.2
78408, -90, -3.2, -4.2
78416, -106, -6.0, -3.2
78424, -117, -6.0, -6.0
78432, -122, -6.2, -6.0
78450, -116, -5.0, -6.2
78459, -116, -5.2, -5.0
78476, -115, -1.8, -5.2
78484, -122, -1.0, -1.8
78496, -126, -0.8, -1.0
78505, -131, -3.0, -0.8
78514, -129, -2.6, -3.0
78519, -131, -3.2, -2.6
78526, -133, -2.2, -3.2
78534, -133, -1.4, -2.2
78542, -131, 0.0, -1.4
78553, -131, 0.0, -0.4
78569, -133, -0.4, -0.4
78577, -125, 1.2, -0.4
78586, -123, 2.0, 1.2
78590, -119, 2.8, 2.0
78599, -117, 3.2, 2.8
78607, -121, 2.4, 3.2
78615, -120, 1.0, 2.4
78623, -119, 0.8, 1.0
78633, -117, 0.4, 0.8
78641, -97, 4.0, 0.4
78648, -106, 3.0, 4.0
78657, -109, 2.2, 3.0
78667, -106, 2.6, 2.2
78675, -107, 2.0, 2.6
78679, -87, 2.0, 2.0
78688, -96, 2.0, 2.0
78696, -96, 2.6, 2.0
78704, -97, 1.8, 2.6
78713, -82, 5.0, 1.8
78721, -83, 0.8, 5.0
78729, -90, 1.2, 0.8
78738, -62, 6.8, 1.2
78746, -90, 1.4, 6.8
78754, -86, -0.8, 1.4
78759, -107, -4.8, -0.8
78768, -101, -2.2, -4.8
78776, -111, -9.800000000000001, -2.2
78783, -51, 7.8, -9.800000000000001
78790, -64, 4.4, 7.8
78799, -51, 11.2, 4.4
78806, -67, 6.8, 11.2
78816, -79, 6.4, 6.8
78820, -66, -3.0, 6.4
78828, -52, 2.4, -3.0
78837, -35, 3.2, 2.4
78850, -25, 8.4, 3.2
78859, -41, 7.6, 8.4
78877, -27, 7.8, 7.6
78886, -19, 6.6, 7.8
78896, -25, 2.0, 6.6
78906, -14, 2.2, 2.0
78918, -9, 6.4, 2.2
78927, -14, 2.6, 6.4
78936, -5, 2.8, 2.6
78941, 1, 5.2, 2.8
78949, 20, 6.8, 5.2
78957, 30, 7.8, 6.8
78967, 41, 11.0, 7.8
78976, 39, 8.800000000000001, 11.0
78985, 44, 8.6, 8.800000000000001
78997, 51, 6.2, 8.6
79006, 57, 5.4, 6.2
79015, 65, 4.8, 5.4
79025, 75, 7.2, 4.8
79034, 77, 6.6, 7.2
79043, 76, 5.0, 6.6
79051, 79, 4.4, 5.0
79061, 83, 3.6, 4.4
79070, 90, 3.0, 3.6
79079, 99, 4.4, 3.0
79089, 104, 5.6, 4.4
79098, 108, 5.8, 5.6
79107, 112, 5.8, 5.8
79116, 115, 5.0, 5.8
79127, 118, 3.8, 5.0
79136, 118, 2.8, 3.8
79144, 117, 1.8, 2.8
79149, 116, 0.8, 1.8
79158, 118, 0.6, 0.8
79167, 122, 0.8, 0.6
79176, 125, 1.4, 0.8
79185, 131, 2.8, 1.4
79196, 135, 3.8, 2.8
79204, 134, 3.2, 3.8
79209, 132, 2.0, 3.2
79218, 133, 1.6, 2.0
79231, 130, -0.2, 1.6
79239, 132, -0.6, -0.2
79256, 132, -0.4, -0.6
79275, 129, -0.6, -0.4
79284, 123, -2.0, -0.6
79297, 134, 0.8, -2.0
79306, 118, -2.8, 0.8
79315, 112, -4.0, -2.8
79328, 108, -4.2, -4.0
79338, 102, -4.2, -4.2
79347, 106, -5.6, -4.2
79358, 94, -4.8, -5.6
79367, 94, -3.6, -4.8
79376, 89, -3.8, -3.6
79386, 90, -2.4, -3.8
79390, 99, -1.4, -2.4
79399, 69, -5.0, -1.4
79428, 59, -7.0, -5.0
79441, 69, -4.0, -7.0
79450, 78, -2.4, -4.0
79460, 73, -5.2, -2.4
79470, 55, -2.8, -5.2
79480, 77, 3.6, -2.8
79491, 62, -1.4, 3.6
79500, 35, -8.6, -1.4
79509, 33, -8.0, -8.6
79518, 43, -2.4, -8.0
79528, 48, -5.8, -2.4
79537, 47, -3.0, -5.8
79546, 35, 0.0, -3.0
79556, 25, -3.6, -1.6
79564, 7, -8.199999999999999, -3.6
79577, 4, -8.6, -8.199999999999999
79586, 30, -1.0, -8.6
79596, 31, 1.2, -1.0
79606, 8, -3.4, 1.2
79614, -1, -1.6, -3.4
79618, 3, -0.2, -1.6
79627, -9, -7.8, -0.2
79639, 12, -3.8, -7.8
79652, -18, -5.2, -3.8
79660, -33, -6.4, -5.2
79667, -35, -7.6, -6.4
79676, -39, -6.0, -7.6
79685, -17, -5.8, -6.0
79690, -14, 0.8, -5.8
79697, -49, -3.2, 0.8
79706, -95, -12.0, -3.2
79712, -95, -11.2, -12.0
79720, -72, -11.0, -11.2
79729, -84, -14.0, -11.0
79739, -87, -7.6, -14.0
79747, -90, 1.0, -7.6
79756, -87, 1.6, 1.0
79764, -113, -8.199999999999999, 1.6
79769, -126, -8.4, -8.199999999999999
79778, -122, -7.0, -8.4
79786, -106, -3.2, -7.0
79794, -113, -5.2, -3.2
79801, -104, 1.8, -5.2
79809, -117, 1.8, 1.8
79816, -128, -1.2, 1.8
79826, -129, -4.6, -1.2
79835, -125, -2.4, -4.6
79843, -135, -6.2, -2.4
79850, -126, -1.8, -6.2
79858, -126, 0.4, -1.8
79867, -132, -0.6, 0.4
79871, -131, -1.2, -0.6
79879, -129, 1.2, -1.2
79889, -113, 2.6, 1.2
79896, -109, 3.4, 2.6
79904, -122, 2.0, 3.4
79911, -115, 3.2, 2.0
79919, -106, 4.6, 3.2
79926, -100, 2.6, 4.6
79936, -94, 3.0, 2.6
79945, -96, 5.2, 3.0
79949, -101, 2.8, 5.2
79957, -102, 0.8, 2.8
79965, -105, -1.0, 0.8
79974, -108, -2.8, -1.0
79978, -78, 3.6, -2.8
79990, -69, 6.4, 3.6
79995, -73, 5.8, 6.4
80002, -103, 0.4, 5.8
80010, -123, -3.0, 0.4
80018, -86, -1.6, -3.0
80026, -87, -3.6, -1.6
80035, -91, -3.6, -3.6
80042, -89, 2.8, -3.6
80054, -121, 0.4, 2.8
80061, -90, -0.8, 0.4
80070, -119, -6.4, -0.8
80077, -114, -4.6, -6.4
80086, -96, -1.4, -4.6
80090, -71, 10.0, -1.4
80099, -97, -1.4, 10.0
80107, -93, 5.2, -1.4
80114, -95, 3.8, 5.2
80121, -99, -0.6, 3.8
80130, -79, -1.6, -0.6
80140, -78, 3.8, -1.6
80147, -55, 7.6, 3.8
80156, -51, 8.800000000000001, 7.6
80160, -67, 6.4, 8.800000000000001
80168, -78, 0.2, 6.4
80176, -79, -0.2, 0.2
80183, -66, -2.2, -0.2
80194, -59, -1.6, -2.2
80201, -47, 4.0, -1.6
80209, -36, 8.4, 4.0
80217, -40, 7.8, 8.4
80226, -45, 4.2, 7.8
80234, -51, 1.6, 4.2
80243, -40, 1.4, 1.6
80248, -13, 4.6, 1.4
80256, -4, 7.2, 4.6
80264, -6, 7.8, 7.2
80271, 37, 17.6, 7.8
80280, -11, 5.8, 17.6
80290, -3, 2.0, 5.8
80301, 12, 3.2, 2.0
80310, 18, 4.8, 3.2
80319, 29, -1.6, 4.8
80329, 25, 7.2, -1.6
80340, 38, 8.199999999999999, 7.2
80350, 33, 4.2, 8.199999999999999
80358, 46, 5.6, 4.2
80368, 65, 7.2, 5.6
80377, 65, 8.0, 7.2
80386, 62, 4.8, 8.0
80397, 58, 5.0, 4.8
80406, 70, 4.8, 5.0
80415, 67, 0.4, 4.8
80420, 68, 0.6, 0.4
80429, 70, 1.6, 0.6
80437, 65, 1.4, 1.6
80476, 94, 4.8, 1.4
80483, 94, 5.4, 4.8
80500, 94, 5.2, 5.4
80517, 94, 4.8, 5.2
80538, 105, 8.0, 4.8
80548, 112, 3.6, 8.0
80560, 114, 4.0, 3.6
80568, 113, 3.8, 4.0
80576, 114, 4.0, 3.8
80589, 112, 1.4, 4.0
80602, 109, -0.6, 1.4
80610, 109, -1.0, -0.6
80619, 112, -0.2, -1.0
80628, 121, 1.4, -0.2
80638, 122, 2.0, 1.4
80647, 105, -0.8, 2.0
80657, 99, -2.0, -0.8
80667, 102, -2.0, -2.0
80676, 120, -0.2, -2.0
80686, 128, 1.2, -0.2
80695, 102, -0.6, 1.2
80706, 96, -0.6, -0.6
80714, 103, 0.2, -0.6
80724, 97, -4.6, 0.2
80734, 85, -8.6, -4.6
80743, 74, -5.6, -8.6
80751, 83, -2.6, -5.6
80760, 85, -3.6, -2.6
80770, 79, -3.6, -3.6
80779, 75, -2.0, -3.6
80789, 49, -5.0, -2.0
80800, 51, -6.4, -5.0
80809, 85, 0.0, -6.4
80818, 101, 5.2, 2.0
80827, 46, -0.6, 5.2
80836, 31, -4.0, -0.6
80846, 34, -10.2, -4.0
80865, 50, -7.8, -10.2
80876, 40, -12.2, -7.8
80890, 62, 3.2, -12.2
80906, 49, 3.6, 3.2
80915, 27, -1.4, 3.6
80926, 29, -4.2, -1.4
80936, 32, -1.6, -4.2
80946, 34, -5.6, -1.6
80957, 13, -7.2, -5.6
80967, 8, -3.8, -7.2
80976, 9, -4.0, -3.8
80986, 21, -2.2, -4.0
80995, 11, -4.6, -2.2
81004, 5, -1.6, -4.6
81014, -23, -6.2, -1.6
81021, -23, -6.4, -6.2
81029, -9, -6.0, -6.4
81039, 0, -2.2, -6.0
81048, -25, -1.0, -2.2
81056, -48, 0.0, -1.0
81068, -40, -3.0, -2.8
81076, -47, -4.4, -3.0
81085, -43, 1.0, -4.4
81094, -40, 1.6, 1.0
81101, -50, -0.4, 1.6
81110, -55, -3.0, -0.4
81118, -54, -1.4, -3.0
81126, -66, -4.6, -1.4
81135, -71, -6.2, -4.6
81140, -71, -4.2, -6.2
81148, -72, -3.4, -4.2
81156, -56, -0.4, -3.4
81165, -98, -6.4, -0.4
81172, -113, -8.4, -6.4
81176, -115, -8.800000000000001, -8.4
81185, -99, -5.4, -8.800000000000001
81191, -113, -11.4, -5.4
81200, -99, -0.2, -11.4
81207, -110, 0.6, -0.2
81216, -110, 1.0, 0.6
81220, -115, -3.2, 1.0
81229, -121, -1.6, -3.2
81236, -114, -3.0, -1.6
81245, -103, 1.4, -3.0
81258, -103, 1.4, 1.4
81268, -112, 0.6, 1.4
81280, -129, -1.6, 0.6
81288, -131, -3.4, -1.6
81298, -121, -3.6, -3.4
81306, -113, -2.0, -3.6
81319, -102, 2.0, -2.0
81327, -95, 6.8, 2.0
81339, -116, 3.0, 6.8
81346, -151, -6.0, 3.0
81355, -126, -2.6, -6.0
81365, -119, -3.4, -2.6
81371, -101, -1.2, -3.4
81379, -116, 0.0, -1.2
81388, -130, -0.8, 4.2
81397, -99, 4.0, -0.8
81405, -87, 2.8, 4.0
81410, -86, 6.0, 2.8
81419, -101, 5.8, 6.0
81427, -103, 5.4, 5.8
81434, -108, -1.8, 5.4
81441, -99, -2.4, -1.8
81449, -102, -3.2, -2.4
81456, -87, 2.8, -3.2
81466, -94, 1.8, 2.8
81474, -94, 2.8, 1.8
81481, -88, 2.2, 2.8
81495, -82, 4.0, 2.2
81503, -79, 1.6, 4.0
81523, -77, 3.4, 1.6
81528, -55, 7.8, 3.4
81536, -64, 4.8, 7.8
81544, -51, 6.2, 4.8
81551, -65, 2.8, 6.2
81558, -59, 3.6, 2.8
81569, -47, 1.6, 3.6
81577, -47, 3.4, 1.6
81581, -39, 2.4, 3.4
81588, -31, 6.8, 2.4
81598, -31, 5.6, 6.8
81607, -17, 6.0, 5.6
81616, -55, -1.6, 6.0
81627, -17, 4.4, -1.6
81636, -39, -1.6, 4.4
81644, -21, 2.0, -1.6
81664, 182, 39.8, 2.0
81674, -51, 0.8, 39.8
81692, 11, 5.6, 0.8
81703, 3, 8.4, 5.6
81711, 13, 6.8, 8.4
81726, 11, -34.2, 6.8
81736, 40, 18.2, -34.2
81747, 39, 5.6, 18.2
81758, 40, 7.4, 5.6
81767, 32, 3.8, 7.4
81777, 36, 5.0, 3.8
81786, 47, 1.4, 5.0
81795, 57, 3.6, 1.4
81805, 37, -0.6, 3.6
81813, 44, 2.4, -0.6
81821, 53, 3.4, 2.4
81833, 66, 3.8, 3.4
81840, 77, 4.0, 3.8
81849, 55, 3.6, 4.0
81858, 74, 6.0, 3.6
81867, 101, 9.6, 6.0
81877, 89, 4.6, 9.6
81885, 100, 4.6, 4.6
81894, 94, 7.8, 4.6
81904, 102, 5.6, 7.8
81913, 101, 0.0, 5.6
81923, 105, 1.0, 3.2
81934, 103, 1.8, 1.0
81943, 110, 1.6, 1.8
81951, 113, 2.4, 1.6
81959, 119, 2.8, 2.4
81968, 130, 5.0, 2.8
81979, 133, 6.0, 5.0
81989, 117, 1.4, 6.0
81999, 116, 0.6, 1.4
82006, 125, 1.2, 0.6
82016, 121, -1.8, 1.2
82020, 116, -3.4, -1.8
82036, 112, -1.0, -3.4
82044, 109, -1.4, -1.0
82059, 103, -4.4, -1.4
82075, 103, -3.6, -4.4
82086, 114, -0.4, -3.6
